url,naziv,cijena,lokacija,lat lng
https://www.olx.ba/artikal/30618144/novogradnja-kromolj-breka-bjelave-vogosca/,NOVOGRADNJA KROMOLJ - breka bjelave vogosca,2.200 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.881257,18.409085&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30605912/novogradnja-kromolj-breka-bjelave-vogosca/,NOVOGRADNJA KROMOLJ - breka bjelave vogosca,2.200 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.880886,18.408356&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31061344/hb-nekretnine-prodaju-stan-cengic-vila/,"H&B nekretnine prodaju, stan Čengić Vila",95.500 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.848885,18.370914&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31441335/stan-stup-bacici-ilidza/,Stan stup bacici ilidza,141.375 KM,Ilidža,"https://maps.google.com/maps?ll=43.845144,18.326283&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31488053/locus-prodajecetverosoban-adaptiran-stan-81m2-a-polje/,"LOCUS prodaje:Četverosoban adaptiran stan 81m2,A. Polje",129.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.845349,18.344028&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31488010/dobrinja-jednosoban-stan-38m2-pored-slasticarne-kup/,Dobrinja. Jednosoban stan 38m2 pored slastičarne Kup,74.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.829345,18.353308&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31512935/novogradnja-hadzici-rezervisite-vas-stan-u-toku-akcije/,Novogradnja Hadžići. Rezervišite Vaš stan u toku akcije,1.420 KM,Hadžići,"https://maps.google.com/maps?ll=43.824259,18.208532&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31112353/professionals-troiposoban-stan-87-m2-dobrinja-2/,Professionals/troiposoban stan 87 m2/Dobrinja 2,120.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.827217,18.352284&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31487322/alipasino-polje-lijepo-adaptiran-dvosoban-stan-48m2/,Alipašino Polje. Lijepo adaptiran dvosoban stan 48m2,115.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.845968,18.35053&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31452726/dobrinja-1-djelomicno-adaptiran-trosoban-stan-74m2/,Dobrinja 1. Djelomično adaptiran trosoban stan 74m2,99.900 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.822534,18.354456&z=16&hl=en-US&gl=US&mapclient=apiv3"
